,date,outflow,storage,day,month,year,water_year,n_day
145,1975-10-01,146.681,720.352,1,10,1975,1976,274.0
146,1975-10-02,202.748,720.352,2,10,1975,1976,275.0
147,1975-10-03,79.28699999999999,730.22,3,10,1975,1976,276.0
148,1975-10-04,56.63399999999999,732.687,4,10,1975,1976,277.0
149,1975-10-05,226.53400000000002,754.89,5,10,1975,1976,278.0
150,1975-10-06,424.75199999999995,794.3610000000001,6,10,1975,1976,279.0
151,1975-10-07,487.04900000000004,794.3610000000001,7,10,1975,1976,280.0
152,1975-10-08,484.217,783.26,8,10,1975,1976,281.0
153,1975-10-09,481.38599999999997,768.4580000000001,9,10,1975,1976,282.0
154,1975-10-10,430.415,752.423,10,10,1975,1976,283.0
155,1975-10-11,191.988,749.956,11,10,1975,1976,284.0
156,1975-10-12,140.451,749.956,12,10,1975,1976,285.0
157,1975-10-13,291.663,735.154,13,10,1975,1976,286.0
158,1975-10-14,172.449,732.687,14,10,1975,1976,287.0
159,1975-10-15,171.317,727.753,15,10,1975,1976,288.0
160,1975-10-16,291.663,717.885,16,10,1975,1976,289.0
161,1975-10-17,300.158,712.951,17,10,1975,1976,290.0
162,1975-10-18,67.39399999999999,737.6210000000001,18,10,1975,1976,291.0
163,1975-10-19,56.917,747.4889999999999,19,10,1975,1976,292.0
164,1975-10-20,214.075,742.555,20,10,1975,1976,293.0
165,1975-10-21,194.53599999999997,735.154,21,10,1975,1976,294.0
166,1975-10-22,189.43900000000002,732.687,22,10,1975,1976,295.0
167,1975-10-23,184.62599999999998,727.753,23,10,1975,1976,296.0
168,1975-10-24,180.94400000000002,725.2860000000001,24,10,1975,1976,297.0
169,1975-10-25,72.491,727.753,25,10,1975,1976,298.0
170,1975-10-26,56.067,735.154,26,10,1975,1976,299.0
171,1975-10-27,209.827,727.753,27,10,1975,1976,300.0
172,1975-10-28,205.297,720.352,28,10,1975,1976,301.0
173,1975-10-29,210.394,712.951,29,10,1975,1976,302.0
174,1975-10-30,204.447,708.018,30,10,1975,1976,303.0
175,1975-10-31,195.669,700.617,31,10,1975,1976,304.0
176,1975-11-01,63.146,705.551,1,11,1975,1976,305.0
177,1975-11-02,54.368,708.018,2,11,1975,1976,306.0
178,1975-11-03,183.21,703.084,3,11,1975,1976,307.0
179,1975-11-04,188.024,695.683,4,11,1975,1976,308.0
180,1975-11-05,216.05700000000002,688.2819999999999,5,11,1975,1976,309.0
181,1975-11-06,111.00200000000001,690.7489999999999,6,11,1975,1976,310.0
182,1975-11-07,269.57599999999996,685.815,7,11,1975,1976,311.0
183,1975-11-08,263.629,683.3480000000001,8,11,1975,1976,312.0
184,1975-11-09,58.333,688.2819999999999,9,11,1975,1976,313.0
185,1975-11-10,198.218,678.414,10,11,1975,1976,314.0
186,1975-11-11,269.01,671.013,11,11,1975,1976,315.0
187,1975-11-12,311.485,666.079,12,11,1975,1976,316.0
188,1975-11-13,267.877,675.947,13,11,1975,1976,317.0
189,1975-11-14,251.736,678.414,14,11,1975,1976,318.0
190,1975-11-15,268.726,675.947,15,11,1975,1976,319.0
191,1975-11-16,241.825,673.48,16,11,1975,1976,320.0
192,1975-11-17,244.37400000000002,663.612,17,11,1975,1976,321.0
193,1975-11-18,211.52599999999998,656.211,18,11,1975,1976,322.0
194,1975-11-19,167.06900000000002,656.211,19,11,1975,1976,323.0
195,1975-11-20,240.69299999999998,651.2769999999999,20,11,1975,1976,324.0
196,1975-11-21,254.851,643.877,21,11,1975,1976,325.0
197,1975-11-22,291.663,638.943,22,11,1975,1976,326.0
198,1975-11-23,77.87100000000001,643.877,23,11,1975,1976,327.0
199,1975-11-24,253.15200000000002,634.009,24,11,1975,1976,328.0
200,1975-11-25,368.11800000000005,614.273,25,11,1975,1976,329.0
201,1975-11-26,308.653,601.938,26,11,1975,1976,330.0
202,1975-11-27,302.99,594.5369999999999,27,11,1975,1976,331.0
203,1975-11-28,302.99,582.203,28,11,1975,1976,332.0
204,1975-11-29,48.988,587.136,29,11,1975,1976,333.0
205,1975-11-30,46.156000000000006,592.07,30,11,1975,1976,334.0
206,1975-12-01,353.96,577.269,1,12,1975,1976,335.0
207,1975-12-02,246.356,577.269,2,12,1975,1976,336.0
208,1975-12-03,314.316,564.934,3,12,1975,1976,337.0
209,1975-12-04,302.99,552.599,4,12,1975,1976,338.0
210,1975-12-05,297.32599999999996,532.863,5,12,1975,1976,339.0
211,1975-12-06,213.792,522.996,6,12,1975,1976,340.0
212,1975-12-07,45.873000000000005,542.731,7,12,1975,1976,341.0
213,1975-12-08,261.93,513.128,8,12,1975,1976,342.0
214,1975-12-09,336.97,485.168,9,12,1975,1976,343.0
215,1975-12-10,342.63300000000004,470.777,10,12,1975,1976,344.0
216,1975-12-11,240.41,468.722,11,12,1975,1976,345.0
217,1975-12-12,268.16,464.611,12,12,1975,1976,346.0
218,1975-12-13,44.174,476.945,13,12,1975,1976,347.0
219,1975-12-14,41.909,487.225,14,12,1975,1976,348.0
220,1975-12-15,174.148,481.05699999999996,15,12,1975,1976,349.0
221,1975-12-16,270.709,468.722,16,12,1975,1976,350.0
222,1975-12-17,153.76,472.834,17,12,1975,1976,351.0
223,1975-12-18,223.136,472.834,18,12,1975,1976,352.0
224,1975-12-19,158.291,474.89,19,12,1975,1976,353.0
225,1975-12-20,47.288999999999994,491.336,20,12,1975,1976,354.0
226,1975-12-21,80.703,508.194,21,12,1975,1976,355.0
227,1975-12-22,184.62599999999998,491.336,22,12,1975,1976,356.0
228,1975-12-23,112.984,489.281,23,12,1975,1976,357.0
229,1975-12-24,111.851,489.281,24,12,1975,1976,358.0
230,1975-12-25,112.984,491.336,25,12,1975,1976,359.0
231,1975-12-26,119.214,493.392,26,12,1975,1976,360.0
232,1975-12-27,39.927,518.062,27,12,1975,1976,361.0
233,1975-12-28,36.246,537.797,28,12,1975,1976,362.0
234,1975-12-29,185.75799999999998,522.996,29,12,1975,1976,363.0
235,1975-12-30,194.253,518.062,30,12,1975,1976,364.0
236,1975-12-31,202.465,550.132,31,12,1975,1976,365.0
237,1976-01-01,325.643,574.802,1,1,1976,1976,1.0
238,1976-01-02,331.30699999999996,574.802,2,1,1976,1976,2.0
239,1976-01-03,487.04900000000004,555.066,3,1,1976,1976,3.0
240,1976-01-04,484.217,522.996,4,1,1976,1976,4.0
