,date,outflow,storage,day,month,year,water_year,n_day
1368,1938-10-01,241.542,30.714000000000002,1,10,1938,1939,274.0
1369,1938-10-02,242.109,30.714000000000002,2,10,1938,1939,275.0
1370,1938-10-03,241.542,30.467,3,10,1938,1939,276.0
1371,1938-10-04,240.69299999999998,30.467,4,10,1938,1939,277.0
1372,1938-10-05,238.42700000000002,29.974,5,10,1938,1939,278.0
1373,1938-10-06,229.083,29.357,6,10,1938,1939,279.0
1374,1938-10-07,229.36599999999999,28.987,7,10,1938,1939,280.0
1375,1938-10-08,229.36599999999999,29.233,8,10,1938,1939,281.0
1376,1938-10-09,226.25099999999998,29.233,9,10,1938,1939,282.0
1377,1938-10-10,254.002,37.004,10,10,1938,1939,283.0
1378,1938-10-11,328.475,42.431999999999995,11,10,1938,1939,284.0
1379,1938-10-12,393.60400000000004,45.885,12,10,1938,1939,285.0
1380,1938-10-13,379.445,43.912,13,10,1938,1939,286.0
1381,1938-10-14,365.287,42.925,14,10,1938,1939,287.0
1382,1938-10-15,370.95,43.295,15,10,1938,1939,288.0
1383,1938-10-16,317.14799999999997,50.326,16,10,1938,1939,289.0
1384,1938-10-17,240.976,64.264,17,10,1938,1939,290.0
1385,1938-10-18,235.59599999999998,78.696,18,10,1938,1939,291.0
1386,1938-10-19,229.083,93.374,19,10,1938,1939,292.0
1387,1938-10-20,229.93200000000002,106.573,20,10,1938,1939,293.0
1388,1938-10-21,234.463,120.01799999999999,21,10,1938,1939,294.0
1389,1938-10-22,230.49900000000002,134.44899999999998,22,10,1938,1939,295.0
1390,1938-10-23,225.685,144.317,23,10,1938,1939,296.0
1391,1938-10-24,221.72099999999998,150.485,24,10,1938,1939,297.0
1392,1938-10-25,225.11900000000003,156.65200000000002,25,10,1938,1939,298.0
1393,1938-10-26,227.101,167.753,26,10,1938,1939,299.0
1394,1938-10-27,231.34799999999998,181.322,27,10,1938,1939,300.0
1395,1938-10-28,237.012,194.89,28,10,1938,1939,301.0
1396,1938-10-29,235.59599999999998,208.458,29,10,1938,1939,302.0
1397,1938-10-30,232.481,223.26,30,10,1938,1939,303.0
1398,1938-10-31,227.101,238.062,31,10,1938,1939,304.0
1399,1938-11-01,224.269,252.863,1,11,1938,1939,305.0
1400,1938-11-02,223.136,267.665,2,11,1938,1939,306.0
1401,1938-11-03,223.703,284.934,3,11,1938,1939,307.0
1402,1938-11-04,222.287,303.436,4,11,1938,1939,308.0
1403,1938-11-05,224.269,326.872,5,11,1938,1939,309.0
1404,1938-11-06,223.703,347.841,6,11,1938,1939,310.0
1405,1938-11-07,221.72099999999998,368.811,7,11,1938,1939,311.0
